attribute description, element ns name, element local name
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,mirrorMargins
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,noBorder
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,noEndnote
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,noProof
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,noPunctuationKerning
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,noResizeAllowed
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,noWrap
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,notTrueType
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,oMath
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,optimizeForBrowser
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,outline
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,overflowPunct
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,pageBreakBefore
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,personal
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,personalCompose
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,personalReply
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,printFormsData
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,printFractionalCharacterWidth
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,printPostScriptOverText
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,printTwoOnOne
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,qFormat
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,removeDateAndTime
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,removePersonalInformation
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,rtl
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,rtlGutter
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,saveFormsData
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,saveInvalidXml
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,savePreviewPicture
{http://purl.oclc.org/ooxml/wordprocessingml/main}val defined by w_CT_OnOff,http://purl.oclc.org/ooxml/wordprocessingml/main,saveSmartTagsAsXml
