, rowGrandTotals, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, colGrandTotals, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, fieldPrintTitles, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, itemPrintTitles, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, mergeItem, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showDropZones, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, createdVersion, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, indent, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showEmptyRow, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showEmptyCol, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, showHeaders, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, compact, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, outline, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, outlineData, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, compactData, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, published, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, gridDropZones, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, immersive, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, multipleFieldFilters, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, chartFormat, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, rowHeaderCaption, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, colHeaderCaption, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, fieldListSortAscending, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, mdxSubqueries, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, customListSort, sml_CT_pivotTableDefinition, http://purl.oclc.org/ooxml/spreadsheetml/main, pivotTableDefinition
, name, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, headers, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, rowNumbers, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, disableRefresh, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, backgroundRefresh, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, firstBackgroundRefresh, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, refreshOnLoad, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, growShrinkType, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, fillFormulas, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, removeDataOnSave, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, disableEdit, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, preserveFormatting, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, adjustColumnWidth, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
, intermediate, sml_CT_QueryTable, http://purl.oclc.org/ooxml/spreadsheetml/main, queryTable
