attribute ns name, attribute local name, defind by, element ns name, element local name
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, cellMerge
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, comment
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, commentRangeEnd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, commentRangeStart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, commentReference
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, customXmlDelRangeEnd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, customXmlDelRangeStart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, customXmlInsRangeEnd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, customXmlInsRangeStart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, customXmlMoveFromRangeEnd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, customXmlMoveFromRangeStart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, customXmlMoveToRangeEnd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, customXmlMoveToRangeStart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, del
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, del
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, del
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, del
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, ins
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, ins
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, ins
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, moveFrom
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, moveFrom
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, moveFromRangeEnd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, moveFromRangeStart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, moveTo
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, moveTo
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, moveToRangeEnd
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, moveToRangeStart
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, numberingChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, pPrChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, rPrChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, rPrChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, sectPrChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, tblGridChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, tblPrChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, tblPrExChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, tcPrChange
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, trPrChange
http://schemas.openxmlformats.org/wordprocessingml/2006/main, val, w_CT_String,,
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, addressFieldName
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, alias
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, aliases
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, altName
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, attachedSchema
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, basedOn
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, clickAndTypeStyle
,,, http://schemas.openxmlformats.org/wordprocessingml/2006/main, connectString
